127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/images/questions.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:12:26, POST, /admin/default/index, HTTP/1.1, 200, 0.045000
127.0.0.1, 2016-04-18 18:12:30, POST, /admin/default/index, HTTP/1.1, 200, 0.045000
127.0.0.1, 2016-04-18 18:12:52, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.021000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-04-18 18:12:55, GET, /admin/default/index, HTTP/1.1, 200, 0.036000
127.0.0.1, 2016-04-18 18:12:58, POST, /admin/default/index, HTTP/1.1, 303, 0.034000
127.0.0.1, 2016-04-18 18:12:58, GET, /admin/default/site, HTTP/1.1, 200, 0.045000
127.0.0.1, 2016-04-18 18:12:58, GET, /admin/static/_2.14.5/images/folder.png, HTTP/1.1, 200, 0.001000
01000
127.0.0.1, 2016-04-18 18:12:58, GET, /admin/static/_2.14.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-18 18:13:00, POST, /admin/default/check_version, HTTP/1.1, 200, 1.617000
127.0.0.1, 2016-04-18 18:15:04, GET, /admin/default/errors/admin, HTTP/1.1, 200, 0.042000
127.0.0.1, 2016-04-18 18:15:07, GET, /admin/default/site, HTTP/1.1, 200, 0.041000
127.0.0.1, 2016-04-18 18:16:06, POST, /admin/default/site, HTTP/1.1, 200, 0.048000
127.0.0.1, 2016-04-18 18:16:15, POST, /admin/default/site, HTTP/1.1, 200, 0.055000
127.0.0.1, 2016-04-18 18:16:26, POST, /admin/default/site, HTTP/1.1, 303, 0.170000
127.0.0.1, 2016-04-18 18:16:26, GET, /admin/default/design/boss, HTTP/1.1, 200, 0.119000
127.0.0.1, 2016-04-18 18:16:26, GET, /admin/static/_2.14.5/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:16:26, GET, /admin/static/_2.14.5/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:16:26, GET, /admin/static/_2.14.5/images/delete_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-04-18 18:16:26, GET, /admin/static/_2.14.5/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:16:51, GET, /boss, HTTP/1.1, 200, 0.563000
127.0.0.1, 2016-04-18 18:16:51, GET, /boss/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-18 18:16:51, GET, /boss/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:16:51, GET, /boss/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-04-18 18:16:51, GET, /boss/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-04-18 18:16:51, GET, /boss/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-04-18 18:16:51, GET, /boss/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-04-18 18:16:51, GET, /boss/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-04-18 18:16:51, GET, /boss/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:16:51, GET, /boss/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:16:51, GET, /boss/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-18 18:16:51, GET, /boss/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:16:51, GET, /boss/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:16:51, GET, /boss/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:16:51, GET, /boss/static/images/background.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:30:17, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2016-04-26 13:30:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.375000
127.0.0.1, 2016-04-26 13:30:17, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-26 13:30:17, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:30:17, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-26 13:30:17, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2016-04-26 13:30:17, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2016-04-26 13:30:17, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2016-04-26 13:30:17, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2016-04-26 13:30:17, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2016-04-26 13:30:17, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-26 13:30:17, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:30:18, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:30:18, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.010000
127.0.0.1, 2016-04-26 13:30:18, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:30:18, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-26 13:30:18, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-26 13:30:18, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:31:40, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2016-04-26 13:31:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.019000
127.0.0.1, 2016-04-26 13:47:33, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2016-04-26 13:47:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.029000
127.0.0.1, 2016-04-26 13:47:53, GET, /boss, HTTP/1.1, 200, 0.283000
127.0.0.1, 2016-04-26 13:47:53, GET, /boss/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-26 13:47:53, GET, /boss/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-26 13:47:53, GET, /boss/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-26 13:47:53, GET, /boss/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-04-26 13:47:53, GET, /boss/static/js/calendar.js, HTTP/1.1, 200, 0.001000
 0.005000
127.0.0.1, 2016-04-26 13:47:53, GET, /boss/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:47:53, GET, /boss/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:47:53, GET, /boss/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:47:53, GET, /boss/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-26 13:47:53, GET, /boss/static/images/background.jpg, HTTP/1.1, 200, 0.001000
